season,Div,Date,Time,kickoff,match_id,HomeTeam,AwayTeam,Referee,FTHG,FTAG,FTR,HTHG,HTAG,home_win,draw,away_win,total_goals,over_2_5,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,total_corners,total_cards,total_shots,total_fouls,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA
2016-17,E0,2016-10-22,00:00,2016-10-22 00:00:00,20161022_burnley_everton,Burnley,Everton,M Jones,2,1,H,1,0,1,0,0,3,1,9,20,3,8,16,15,2,8,2,3,0,0,10,5,29,31,,,,,,
2016-17,E0,2016-10-23,00:00,2016-10-23 00:00:00,20161023_chelsea_manunited,Chelsea,Man United,M Atkinson,4,0,H,2,0,1,0,0,4,1,14,16,6,5,7,17,5,7,3,2,0,0,12,5,30,24,,,,,,
2016-17,E0,2016-10-23,00:00,2016-10-23 00:00:00,20161023_mancity_southampton,Man City,Southampton,M Clattenburg,1,1,D,0,1,0,1,0,2,0,14,6,3,2,11,10,10,3,3,3,0,0,13,6,20,21,,,,,,
2016-17,E0,2016-10-29,00:00,2016-10-29 00:00:00,20161029_crystalpalace_liverpool,Crystal Palace,Liverpool,A Marriner,2,4,A,2,3,0,0,1,6,1,7,17,6,10,15,5,3,3,1,2,0,0,6,3,24,20,,,,,,
2016-17,E0,2016-10-29,00:00,2016-10-29 00:00:00,20161029_manunited_burnley,Man United,Burnley,M Clattenburg,0,0,D,0,0,0,1,0,0,0,37,7,11,1,12,9,19,1,1,3,1,0,20,5,44,21,,,,,,
2016-17,E0,2016-10-29,00:00,2016-10-29 00:00:00,20161029_middlesbrough_bournemouth,Middlesbrough,Bournemouth,S Attwell,2,0,H,1,0,1,0,0,2,0,10,15,3,3,3,5,4,7,1,1,0,0,11,2,25,8,,,,,,
2016-17,E0,2016-10-29,00:00,2016-10-29 00:00:00,20161029_sunderland_arsenal,Sunderland,Arsenal,M Atkinson,1,4,A,0,1,0,0,1,5,1,3,21,1,7,9,13,0,8,4,3,0,0,8,7,24,22,,,,,,
2016-17,E0,2016-10-29,00:00,2016-10-29 00:00:00,20161029_tottenham_leicester,Tottenham,Leicester,R Madley,1,1,D,1,0,0,1,0,2,0,22,6,5,1,11,20,8,1,3,4,0,0,9,7,28,31,,,,,,
2016-17,E0,2016-10-29,00:00,2016-10-29 00:00:00,20161029_watford_hull,Watford,Hull,J Moss,1,0,H,0,0,1,0,0,1,0,22,8,0,2,13,8,7,2,1,2,0,0,9,3,30,21,,,,,,
2016-17,E0,2016-10-29,00:00,2016-10-29 00:00:00,20161029_westbrom_mancity,West Brom,Man City,L Mason,0,4,A,0,2,0,0,1,4,1,9,21,1,8,17,10,1,7,4,3,0,0,8,7,30,27,,,,,,
2016-17,E0,2016-10-30,00:00,2016-10-30 00:00:00,20161030_everton_westham,Everton,West Ham,A Taylor,2,0,H,0,0,1,0,0,2,0,17,13,6,3,15,12,8,8,2,3,0,0,16,5,30,27,,,,,,
2016-17,E0,2016-10-30,00:00,2016-10-30 00:00:00,20161030_southampton_chelsea,Southampton,Chelsea,M Jones,0,2,A,0,1,0,0,1,2,0,9,13,1,7,13,16,7,3,0,0,0,0,10,0,22,29,,,,,,
2016-17,E0,2016-10-31,00:00,2016-10-31 00:00:00,20161031_stoke_swansea,Stoke,Swansea,M Oliver,3,1,H,1,1,1,0,0,4,1,17,14,4,6,7,14,6,4,2,0,0,0,10,2,31,21,,,,,,
