Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA,kickoff,match_id,home_win,draw,away_win,total_goals,over_2_5,total_corners,total_cards,total_shots,total_fouls
E0,2024-10-19,15:00,Ipswich,Everton,0,2,A,0,2,13,11,2,8,12,10,5,8,1,1,0,0,2.4,3.42,3.01,2.42,3.5,3.11,2024-10-19 15:00:00,20241019_ipswich_everton,0,0,1,2,0,13,2,24,22
E0,2024-10-19,15:00,Man United,Brentford,2,1,H,0,1,23,8,11,2,14,5,9,2,2,2,0,0,1.71,4.28,4.48,1.75,4.5,4.75,2024-10-19 15:00:00,20241019_manunited_brentford,1,0,0,3,1,11,4,31,19
E0,2024-10-19,15:00,Newcastle,Brighton,0,1,A,0,1,21,10,6,5,11,9,9,4,2,2,0,0,2.01,3.88,3.51,2.05,4.08,3.66,2024-10-19 15:00:00,20241019_newcastle_brighton,0,0,1,1,0,13,4,31,20
E0,2024-10-19,15:00,Southampton,Leicester,2,3,A,2,0,14,18,7,4,10,10,10,6,5,3,1,0,2.33,3.54,3.03,2.38,3.63,3.14,2024-10-19 15:00:00,20241019_southampton_leicester,0,0,1,5,1,16,9,32,20
E0,2024-10-19,17:30,Bournemouth,Arsenal,2,0,H,0,0,13,6,4,1,12,11,7,4,1,1,0,1,4.94,4.09,1.68,5.1,4.23,1.71,2024-10-19 17:30:00,20241019_bournemouth_arsenal,1,0,0,2,0,11,3,19,23
E0,2024-10-20,14:00,Wolves,Man City,1,2,A,1,1,3,22,2,7,8,5,1,18,4,1,0,0,8.88,5.85,1.31,9.8,6.0,1.34,2024-10-20 14:00:00,20241020_wolves_mancity,0,0,1,3,1,19,5,25,13
E0,2024-10-20,16:30,Liverpool,Chelsea,2,1,H,1,0,9,12,5,2,12,13,1,6,4,3,0,0,1.63,4.39,4.89,1.67,4.69,5.1,2024-10-20 16:30:00,20241020_liverpool_chelsea,1,0,0,3,1,7,7,21,25
E0,2024-10-21,20:00,Nott'm Forest,Crystal Palace,1,0,H,0,0,20,20,6,7,9,12,6,6,2,3,0,0,2.36,3.31,3.11,2.41,3.5,3.21,2024-10-21 20:00:00,20241021_nott'mforest_crystalpalace,1,0,0,1,0,12,5,40,21
E0,2024-10-25,20:00,Leicester,Nott'm Forest,1,3,A,1,1,11,20,1,5,16,9,6,7,5,2,0,0,3.09,3.32,2.41,3.2,3.45,2.45,2024-10-25 20:00:00,20241025_leicester_nott'mforest,0,0,1,4,1,13,7,31,25
E0,2024-10-26,15:00,Aston Villa,Bournemouth,1,1,D,0,0,18,11,8,3,12,14,9,7,7,6,0,0,1.86,3.97,3.97,1.9,4.1,4.1,2024-10-26 15:00:00,20241026_astonvilla_bournemouth,0,1,0,2,0,16,13,29,26
